timestamp,temperature,time_id
2026-05-15 17:37:58,9.6,2992
2026-05-15 17:38:58,9.7,2993
2026-05-15 17:39:58,9.7,2994
2026-05-15 17:40:59,9.7,2995
2026-05-15 17:41:59,9.7,2996
2026-05-15 17:42:59,9.7,2997
2026-05-15 17:43:59,9.7,2998
2026-05-15 17:44:59,9.5,2999
2026-05-15 17:45:59,9.6,3000
2026-06-03 02:45:36,20.4,2001
2026-06-03 02:46:36,20.4,2002
2026-06-03 02:47:36,20.4,2003
2026-06-03 02:48:36,20.4,2004
2026-06-03 02:49:36,20.4,2005
2026-06-03 02:50:36,20.3,2006
2026-06-03 02:51:36,20.3,2007
2026-06-03 02:52:36,20.3,2008
2026-06-03 02:53:36,20.4,2009
