timestamp,event,elapsed,temperature,event_id
2026-05-13 15:21:45,SESSION_START,00:00:00,,0
2026-05-13 15:21:45,BOOT,00:00:00,,1
2026-05-13 17:21:45,TEMP_BELOW_THRESHOLD,00:00:00,11.0,3
2026-05-13 15:21:45,SESSION_START,00:00:00,,0
2026-05-13 15:21:45,BOOT,00:00:00,,1
2026-05-13 17:21:45,TEMP_BELOW_THRESHOLD,00:00:00,11.0,3
2026-05-13 15:42:59,TIMER_MANUAL_RESET,00:00:00,11.0,4
2026-05-13 15:21:45,SESSION_START,00:00:00,,0
2026-05-13 15:21:45,BOOT,00:00:00,,1
2026-05-13 17:21:45,TEMP_BELOW_THRESHOLD,00:00:00,11.1,3
2026-05-26 02:20:44,SENSOR_LOST,00:00:00,,4
2026-05-26 02:20:48,TEMP_BELOW_THRESHOLD,00:00:04,24.1,6
2026-05-26 17:05:00,SENSOR_LOST,00:00:00,,7
2026-05-26 17:05:04,TEMP_BELOW_THRESHOLD,00:00:04,25.2,9
2026-05-26 17:05:15,SENSOR_LOST,00:00:00,,10
2026-05-26 17:05:31,TEMP_BELOW_THRESHOLD,00:00:16,25.3,12
2026-05-26 17:05:45,SENSOR_LOST,00:00:00,,13
2026-05-26 17:05:48,TEMP_BELOW_THRESHOLD,00:00:03,25.3,15
2026-05-26 17:08:47,SENSOR_LOST,00:00:00,,16
2026-05-26 17:09:24,TEMP_BELOW_THRESHOLD,00:00:37,25.5,18
2026-05-26 17:09:40,SENSOR_LOST,00:00:00,,19
2026-05-26 17:10:36,TEMP_BELOW_THRESHOLD,00:00:56,25.8,21
2026-05-27 13:42:25,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,22
2026-05-27 13:42:26,TEMP_BELOW_THRESHOLD,00:00:01,69.9,23
2026-05-27 13:42:29,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,24
2026-05-27 13:42:30,TEMP_BELOW_THRESHOLD,00:00:01,69.9,25
2026-05-27 13:42:37,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,26
2026-05-27 13:42:38,TEMP_BELOW_THRESHOLD,00:00:01,70.0,27
2026-05-27 13:42:42,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,28
2026-05-27 13:42:43,TEMP_BELOW_THRESHOLD,00:00:01,70.0,29
2026-05-27 13:42:44,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,30
2026-05-27 13:42:45,TEMP_BELOW_THRESHOLD,00:00:01,70.0,31
2026-05-27 13:42:47,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,32
2026-05-27 13:42:50,TEMP_BELOW_THRESHOLD,00:00:03,69.9,33
2026-05-27 13:42:52,TEMP_ABOVE_THRESHOLD,00:00:00,70.0,34
2026-05-27 13:42:54,TEMP_BELOW_THRESHOLD,00:00:02,69.9,35
2026-05-27 13:42:55,TEMP_ABOVE_THRESHOLD,00:00:00,70.1,36
2026-05-27 13:42:56,TEMP_BELOW_THRESHOLD,00:00:01,70.0,37
